Gene Symbol /Region Name,HGNC/Dosage ID,GRCh37,GRCh38,HI Score,TS Score,LastEvaluated Date
AAGAB,HGNC:25662,15:67493005-67547536,15:67200667-67255198,SufficientEvidence,NoEvidence,2/28/2013
ABCB4,HGNC:45,7:87031012-87104996,7:87365896-87476027,SufficientEvidence,NoEvidence,4/16/2024
ABCD1,HGNC:61,X:152990311-153010209,X:153724856-153744755,SufficientEvidence,NoEvidence,12/2/2020
ACVRL1,HGNC:175,12:52301288-52317145,12:51906944-51923361,SufficientEvidence,NoEvidence,2/11/2025
ADNP,HGNC:15766,20:49505455-49547974,20:50888918-50931437,SufficientEvidence,NoEvidence,11/22/2017
AFF2,HGNC:3776,X:147582137-148082193,X:148500617-149000663,SufficientEvidence,NoEvidence,12/8/2020
AHDC1,HGNC:25230,1:27860756-27930655,1:27534245-27604227,SufficientEvidence,NoEvidence,2/28/2018
ALX4,HGNC:450,11:44281990-44331689,11:44260440-44310139,SufficientEvidence,NoEvidence,7/22/2020
ANK2,HGNC:493,4:113626778-114304892,4:112705622-113383736,SufficientEvidence,NoEvidence,1/14/2025
ANKRD11,HGNC:21316,16:89334038-89556969,16:89267630-89490561,SufficientEvidence,NoEvidence,6/14/2022
ANKRD17,HGNC:23575,4:73939093-74124515,4:73073376-73258798,SufficientEvidence,NoEvidence,4/11/2023
ANOS1,HGNC:6211,X:8496915-8700178,X:8528874-8732137,SufficientEvidence,NoEvidence,5/26/2021
AP1S2,HGNC:560,X:15843929-15872936,X:15825806-15854813,SufficientEvidence,NoEvidence,4/28/2021
APC,HGNC:583,5:112043195-112181936,5:112707498-112846239,SufficientEvidence,NoEvidence,7/19/2021
APOB,HGNC:603,2:21224301-21266945,2:21001429-21044073,SufficientEvidence,NoEvidence,4/9/2020
AR,HGNC:644,X:66763863-66950461,X:67544021-67730619,SufficientEvidence,NoEvidence,12/8/2020
ARCN1,HGNC:649,11:118443124-118473748,11:118572409-118603033,SufficientEvidence,NoEvidence,5/10/2022
ARHGEF9,HGNC:14561,X:62854847-63005094,X:63634967-63785214,SufficientEvidence,NoEvidence,11/25/2021
ARID1A,HGNC:11110,1:27022506-27108595,1:26696015-26782104,SufficientEvidence,NoEvidence,5/27/2020
ARID1B,HGNC:18040,6:157097160-157531913,6:156776026-157210779,SufficientEvidence,NoEvidence,5/26/2021
ARID2,HGNC:18037,12:46123489-46301820,12:45729706-45908037,SufficientEvidence,NoEvidence,6/26/2019
ARSL,HGNC:719,X:2852562-2886286,X:2934521-2968245,SufficientEvidence,NoEvidence,7/12/2012
ARX,HGNC:18060,X:25021811-25034082,X:25003694-25015965,SufficientEvidence,NoEvidence,12/5/2019
ASH1L,HGNC:19088,1:155305059-155532594,1:155335268-155563202,SufficientEvidence,NoEvidence,12/27/2017
ASXL1,HGNC:18318,20:30946134-31027122,20:32358331-32439319,SufficientEvidence,NoEvidence,3/14/2013
ASXL3,HGNC:29357,18:31158183-31331159,18:33578219-33751195,SufficientEvidence,NoEvidence,11/22/2017
ATM,HGNC:795,11:108093794-108239829,11:108223067-108369102,SufficientEvidence,NoEvidence,4/8/2020
ATP7A,HGNC:869,X:77166190-77305892,X:77910693-78050395,SufficientEvidence,NoEvidence,3/24/2021
ATRX,HGNC:886,X:76760358-77041702,X:77504880-77786216,SufficientEvidence,NoEvidence,7/31/2012
AUTS2,HGNC:14262,7:69063461-70258492,7:69598475-70793506,SufficientEvidence,NoEvidence,6/24/2020
AVPR2,HGNC:897,X:153168079-153172620,X:153902625-153907166,SufficientEvidence,NoEvidence,2/1/2021
AXIN2,HGNC:904,17:63524681-63557766,17:65528563-65561648,SufficientEvidence,NoEvidence,12/8/2021
BAG3,HGNC:939,10:121410892-121437331,10:119651380-119677819,SufficientEvidence,NoEvidence,2/12/2015
BAP1,HGNC:950,3:52435024-52444024,3:52401008-52410008,SufficientEvidence,NoEvidence,1/30/2025
BARD1,HGNC:952,2:215590370-215674407,2:214725646-214809683,SufficientEvidence,NoEvidence,5/1/2020
BCAP31,HGNC:16695,X:152965947-152989842,X:153700492-153724387,SufficientEvidence,NoEvidence,8/8/2023
BCL11A,HGNC:13221,2:60677655-60780789,2:60450520-60553924,SufficientEvidence,NoEvidence,4/13/2017
BCOR,HGNC:20893,X:39910499-40036582,X:40051246-40177329,SufficientEvidence,NoEvidence,10/4/2012
BMP4,HGNC:1071,14:54416454-54423609,14:53949736-53956891,SufficientEvidence,NoEvidence,4/23/2025
BMPR1A,HGNC:1076,10:88516376-88687726,10:86755763-86932844,SufficientEvidence,NoEvidence,6/24/2020
BMPR2,HGNC:1078,2:203241050-203432472,2:202376327-202567749,SufficientEvidence,NoEvidence,8/26/2020
BPTF,HGNC:3581,17:65821619-65980494,17:67825503-67984378,SufficientEvidence,NoEvidence,7/12/2022
BRCA1,HGNC:1100,17:41196312-41277381,17:43044295-43170327,SufficientEvidence,NoEvidence,9/23/2021
BRCA2,HGNC:1101,13:32889645-32974405,13:32315508-32400268,SufficientEvidence,NoEvidence,7/14/2021
BRIP1,HGNC:20473,17:59756500-59940889,17:61679139-61863528,SufficientEvidence,NoEvidence,10/9/2025
BRPF1,HGNC:14255,3:9773419-9789699,3:9731735-9748015,SufficientEvidence,NoEvidence,8/23/2023
